names,orig_lang,budget_x,revenue,country,number_of_oscar_winners,main_genre,release_month,release_year
Creed III,English,75000000,271616668,AU,0,Drama,03,2023
Avatar: The Way of Water,English,460000000,2316794914,AU,1,Science Fiction,12,2022
The Super Mario Bros. Movie,English,100000000,724459031,AU,0,Animation,04,2023
Mummies,"Spanish, Castilian",12300000,34200000,AU,0,Animation,01,2023
Supercell,English,77000000,340941958.6,US,0,Action,03,2023
Cocaine Bear,English,35000000,80000000,AU,0,Thriller,02,2023
John Wick: Chapter 4,English,100000000,351349364,AU,0,Action,03,2023
Puss in Boots: The Last Wish,English,90000000,483480577,AU,1,Animation,12,2022
Attack on Titan,English,71000000,254946484.2,US,0,Action,09,2022
The Park,English,119200000,488962491,US,0,Action,03,2023
Winnie the Pooh: Blood and Honey,English,100000,3200000,AU,0,Horror,02,2023
The Exorcist,"Spanish, Castilian",12000000,428214478,MX,0,Horror,11,2022
Murder Mystery 2,English,43800000,489543087.4,AU,0,Comedy,03,2023
Black Panther: Wakanda Forever,English,250000000,854041058,AU,0,Action,11,2022
The Pope's Exorcist,English,92000000,462216471.8,AU,1,Horror,04,2023
Prizefighter: The Life of Jem Belcher,English,77600000,562112551,GB,1,Drama,07,2022
Knock at the Cabin,English,20000000,54629497,AU,0,Thriller,02,2023
The Devil Conspiracy,English,54060000,492646395.4,US,0,Horror,01,2023
Cazadora,"Spanish, Castilian",110400000,318117812.6,CL,0,Thriller,01,2023
Gold Run,Norwegian,123500000,420430064.8,NO,0,War,12,2022
The Magician's Elephant,English,82600000,473097256.6,AU,0,Animation,03,2023
Plane,English,25000000,51000000,GB,0,Action,01,2023
The Passion of the Christ,English,25000000,622313635,AU,0,Drama,02,2004
Batman: The Doom That Came to Gotham,English,145760000,321934831.2,US,0,Animation,03,2023
Shazam! Fury of the Gods,English,125000000,132107025,AU,1,Action,03,2023
Consecration,English,54060000,492646395.4,US,0,Horror,02,2023
Shark Side of the Moon,English,10000,17887093.8,US,0,Action,08,2022
Black Adam,English,200000000,391261706,AU,0,Action,10,2022
Money Shot: The Pornhub Story,English,68500000,280052393,US,0,Documentary,03,2023
M3GAN,English,12000000,167643991,AU,0,Science Fiction,01,2023
Ant-Man and the Wasp: Quantumania,English,200000000,466001332,AU,1,Science Fiction,02,2023
Sayen,"Spanish, Castilian",73800000,370426090.8,CL,0,Thriller,03,2023
Die Hart,English,113000000,369995579.2,US,0,Action,02,2023
13 Exorcisms,"Spanish, Castilian",2480000,1891519,ES,0,Drama,11,2022
H.P. Lovecraft's Witch House,English,146740000,301123555.2,US,0,Horror,06,2022
John Wick: Chapter 2,English,40000000,171539887,AU,0,Action,05,2017
Sick,English,81800000,408307377.8,US,0,Horror,09,2022
Black Warrant,English,116000000,378399280.8,AU,0,Action,03,2023
Shotgun Wedding,English,16050000,4495365,AU,0,Action,01,2023
John Wick: Chapter 3 - Parabellum,English,55000000,326709727,AU,1,Action,05,2019
Legion of Super-Heroes,English,113400000,778431865.2,US,0,Animation,02,2023
Fall,English,3000000,16120263,AU,0,Thriller,09,2022
Lord of the Streets,English,1000000,22790427.2,US,0,Action,04,2022
Little Dixie,English,141340000,748525217.4,US,0,Thriller,02,2023
The Whale,English,3000000,36752010,AU,0,Drama,02,2023
Prey for the Devil,English,27240305,37655699,US,0,Horror,10,2022
Bandit,English,115000000,484414431,US,0,Crime,09,2022
Roald Dahl's Matilda the Musical,English,25000000,13276499,AU,1,Family,12,2022
The Simpsons Meet the Bocellis in Feliz Navidad,English,97200000,425726914.4,US,0,Animation,12,2022
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Japanese,15800000,503063688,AU,0,Animation,02,2021
Huesera: The Bone Woman,"Spanish, Castilian",135000000,670271186.2,MX,0,Drama,02,2023
The Last Heretic,"Spanish, Castilian",122400000,344127931.8,AR,0,Thriller,11,2022
JUNG_E,Korean,66240000,580188584,KR,0,Science Fiction,01,2023
A Man Called Otto,English,50000000,108973274,AU,1,Comedy,01,2023
Champions,English,51880004,9263009,AU,0,Comedy,03,2023
Dungeons & Dragons: Honor Among Thieves,English,150000000,158598670,AU,0,Adventure,03,2023
Troll,Norwegian,121400000,977795653.4,AU,0,Fantasy,12,2022
Sonic the Hedgehog 2,English,90000000,405421518,AU,0,Action,03,2022
A Bronx Tale,English,10000000,17287898,AU,1,Drama,05,1994
Big Trip 2: Special Delivery,Russian,95200000,416119951.4,AU,0,Animation,01,2023
Encanto at the Hollywood Bowl,English,127000000,533207056.8,US,0,Music,12,2022
The Forbidden Legend: Sex & Chopsticks 2,Cantonese,89600000,318375960.2,HK,0,Comedy,03,2009
Top Gun: Maverick,English,170000000,1481369482,AU,0,Action,05,2022
On a Wing and a Prayer,English,147400000,445526734.8,US,0,Drama,04,2023
Sniper: The White Raven,Ukrainian,1000000,102414815.2,UA,0,War,08,2022
The Enforcer,English,1261569,102023958,AU,0,Action,12,2022
Diabolik - Ginko Attacks,Italian,21680000,1228459,IT,0,Crime,11,2022
Scream VI,English,35000000,167273149,AU,0,Horror,03,2023
Avatar,English,237000000,2923706026,AU,0,Action,12,2009
Breaking,English,72000000,318039059.2,US,0,Crime,08,2022
Tetris,English,172000000,594334899,GB,0,Thriller,03,2023
65,English,45000000,56072012,AU,0,Thriller,03,2023
Thor: Love and Thunder,English,250000000,760928081,AU,2,Fantasy,07,2022
Arctic Void,English,147200000,872776677.4,US,0,Science Fiction,01,2022
Terrifier 2,English,250000,12964783,AU,0,Horror,10,2022
John Wick,English,30000000,75958800,AU,0,Action,11,2014
Spider-Man: No Way Home,English,200000000,1910048245,AU,1,Action,12,2021
R.I.P.D. 2: Rise of the Damned,English,52000000,539054106.6,US,0,Action,11,2022
Dolphin Boy,Russian,115000000,489779661,RU,0,Animation,04,2022
Guillermo del Toro's Pinocchio,English,35000000,81567666.2,AU,1,Animation,11,2022
A Frozen Rooster,"Spanish, Castilian",113880000,604874932.2,MX,0,Animation,12,2022
Dragon Ball Super: Super Hero,Japanese,43602530.2,86562140,AU,0,Animation,08,2022
Nocebo,English,112000000,586323916.4,US,0,Mystery,11,2022
Prey,English,65000000,0,AU,0,Thriller,08,2022
Hex,English,117480000,457839055.6,US,0,Action,11,2022
Medieval,English,23000000,4311284,US,0,Action,09,2022
Barbie: Skipper and the Big Babysitting Adventure,English,134400000,716009340.2,US,0,Family,03,2023
Super Mario Bros.,English,42000000,20844907,AU,0,Action,06,1993
Transfusion,English,104580000,260353036.4,AU,0,Crime,01,2023
Jurassic World Dominion,English,165000000,1001978080,AU,0,Adventure,06,2022
The Boss Baby: Christmas Bonus,English,51000000,455134472.8,US,0,Animation,12,2022
Shazam!,English,85000000,363563907,AU,0,Action,04,2019
El último hombre sobre la Tierra,"Spanish, Castilian",100000000,246367071,CO,0,Comedy,12,2022
All Quiet on the Western Front,German,20000000,326479707.4,AU,0,Drama,10,2022
Violent Night,English,20000000,76599607,AU,0,Action,12,2022
Scream,English,24000000,138874789,AU,0,Horror,01,2022
Scream,English,15000000,173046640,AU,0,Horror,01,2022
Devotion,English,90000000,20000000,AU,0,War,01,2023
The Woman King,English,50000000,94374749,AU,0,Action,10,2022
Evil Dead Rise,English,132500000,469254456.2,AU,0,Horror,04,2023
Perfect Addiction,English,79800000,387664307.6,DE,0,Drama,02,2023
Project Gemini,English,134000000,308786595.8,RU,0,Science Fiction,01,2022
Doctor Strange in the Multiverse of Madness,English,200000000,952224986,AU,0,Fantasy,05,2022
There Are No Saints,English,136400000,194565354,AU,0,Action,07,2022
Avengers: Infinity War,English,300000000,2048359754,AU,0,Adventure,04,2018
Smile,English,17000000,216049734,AU,0,Horror,09,2022
¡Que Viva México!,"Spanish, Castilian",100100000,947468745.8,MX,0,Comedy,03,2023
Detective Knight: Independence,English,134200000,772865923.6,US,0,Action,01,2023
Strange World,English,135000000,69566884,AU,0,Animation,11,2022
The Ten Commandments,English,13500000,85433929,AU,2,Drama,12,1958
The Ten Commandments,English,10000000,1051907,AU,2,Drama,12,1958
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,Japanese,129000000,645532173.4,JP,0,Action,03,2019
Four's a Crowd,"Spanish, Castilian",110000000,271669045.6,ES,0,Comedy,10,2022
Minions: The Rise of Gru,English,80000000,939200081,AU,0,Animation,07,2022
Creed II,English,50000000,213591522,AU,0,Drama,12,2018
Creed,English,37000000,173567581,AU,0,Drama,11,2015
Beast,English,36000000,59103794,AU,0,Thriller,08,2022
Fast X,English,340000000,0,US,0,Action,05,2023
My Name Is Vendetta,Italian,113000000,365992130.6,AU,0,Action,11,2022
Wrath of Man,English,40000000,103913405,AU,0,Action,04,2021
Jeepers Creepers: Reborn,English,5000000,5954938,AU,0,Horror,09,2022
Turning Red,English,175000000,10964971,AU,0,Animation,03,2022
Encanto,English,150000000,231120602,AU,0,Animation,11,2021
Prancer: A Christmas Tale,English,86800000,284184080,US,0,Family,11,2022
Magic Mike's Last Dance,English,45000000,52000000,AU,0,Comedy,02,2023
"Lyle, Lyle, Crocodile",English,50000000,107644101,AU,0,Comedy,12,2022
The Penitent Thief,English,15160689,23800,AU,0,Drama,02,2021
Hacksaw Ridge,English,40000000,169023926,AU,0,Drama,10,2016
Venus,"Spanish, Castilian",6000000,7818479,ES,0,Drama,12,2022
The Offering,English,103600000,134150172.6,US,0,Horror,09,2022
Jujutsu Kaisen 0,Japanese,21835777,195870885,AU,0,Animation,03,2022
The Batman,English,200000000,766326717,AU,0,Crime,03,2022
Life in a Year,English,90000000,627851111.8,US,0,Drama,11,2020
Super Mario Brothers: Great Mission to Rescue Princess Peach,Japanese,151600000,675230189,JP,0,Animation,07,1986
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",English,180000000,745013115,AU,0,Adventure,12,2005
The Exorcism of God,English,1500000,123516163.2,AU,0,Horror,07,2022
Ghosts of the Ozarks,English,113000000,548624602.6,US,0,Western,02,2022
Kompromat,French,155140000,302915354,AU,0,Thriller,12,2022
Matadero,"Spanish, Castilian",73800000,346352260.6,ES,0,Drama,12,2022
Air,English,28519270.6,5000000,AU,0,Drama,04,2023
Disenchanted,English,142600000,524597714.8,AU,0,Comedy,11,2022
Luck,English,147000000,721203091.4,AU,1,Animation,08,2022
Bullet Train,English,85900000,238534963,AU,1,Action,08,2022
Night at the Museum: Kahmunrah Rises Again,English,124400000,508761361.2,US,0,Animation,12,2022
Blade of the 47 Ronin,English,131000000,431341845.4,AU,0,Action,10,2022
Sing 2,English,85000000,404655351,AU,2,Animation,12,2021
Shark Bait,English,106000000,591557010.2,GB,0,Horror,06,2022
Shrek,English,50000000,491812794,AU,0,Animation,06,2001
Orgasm Inc: The Story of OneTaste,English,77400000,431611098,US,0,Documentary,11,2022
In His Shadow,French,133000000,407446362.4,FR,0,Drama,03,2023
Savage Salvation,English,85645,244880855.2,US,1,Thriller,12,2022
